date,gt_DIAN,gt_credito_hipotecario_Colombia,gt_desempleo_Colombia,gt_inflacion_Colombia,gt_remate_Colombia,gt_tasa_de_cambio,gt_venta_de_carros,mob_retail,mob_work,mob_transit,mob_grocery,mob_residential
2012-01-01,35,0.5,0.5,1,20,1,100,NA,NA,NA,NA,NA
2012-02-01,28,0.5,1,1,24,2,93,NA,NA,NA,NA,NA
2012-03-01,35,0.5,1,1,25,2,83,NA,NA,NA,NA,NA
2012-04-01,36,0.5,1,1,22,1,64,NA,NA,NA,NA,NA
2012-05-01,43,0.5,1,1,23,1,56,NA,NA,NA,NA,NA
2012-06-01,30,0.5,1,0.5,16,1,62,NA,NA,NA,NA,NA
2012-07-01,30,0.5,0.5,0.5,19,1,68,NA,NA,NA,NA,NA
2012-08-01,37,0.5,1,1,21,1,58,NA,NA,NA,NA,NA
2012-09-01,26,0.5,1,1,18,1,60,NA,NA,NA,NA,NA
2012-10-01,23,0.5,1,1,14,1,61,NA,NA,NA,NA,NA
2012-11-01,30,0.5,1,1,14,1,58,NA,NA,NA,NA,NA
2012-12-01,25,0.5,0.5,0.5,19,1,63,NA,NA,NA,NA,NA
2013-01-01,40,0.5,0.5,1,19,1,76,NA,NA,NA,NA,NA
2013-02-01,32,0.5,1,1,15,1,65,NA,NA,NA,NA,NA
2013-03-01,32,0.5,1,1,13,1,69,NA,NA,NA,NA,NA
2013-04-01,44,0.5,1,1,12,2,66,NA,NA,NA,NA,NA
2013-05-01,44,0.5,1,1,15,2,66,NA,NA,NA,NA,NA
2013-06-01,37,0.5,0.5,0.5,17,1,72,NA,NA,NA,NA,NA
2013-07-01,40,0.5,0.5,0.5,14,1,74,NA,NA,NA,NA,NA
2013-08-01,58,0.5,1,1,11,1,76,NA,NA,NA,NA,NA
2013-09-01,34,0.5,1,1,13,1,68,NA,NA,NA,NA,NA
2013-10-01,27,0.5,1,1,14,1,68,NA,NA,NA,NA,NA
2013-11-01,29,0.5,1,1,17,1,73,NA,NA,NA,NA,NA
2013-12-01,27,0.5,0.5,0.5,14,1,74,NA,NA,NA,NA,NA
2014-01-01,47,0.5,0.5,1,15,1,96,NA,NA,NA,NA,NA
2014-02-01,30,0.5,1,1,12,1,78,NA,NA,NA,NA,NA
2014-03-01,30,0.5,1,1,12,1,75,NA,NA,NA,NA,NA
2014-04-01,38,0.5,1,1,12,1,78,NA,NA,NA,NA,NA
2014-05-01,43,0.5,1,1,10,1,68,NA,NA,NA,NA,NA
2014-06-01,26,0.5,0.5,0.5,12,1,68,NA,NA,NA,NA,NA
2014-07-01,38,0.5,0.5,0.5,12,1,73,NA,NA,NA,NA,NA
