date,value,series
2012-01-31,20.41,credit
2012-02-29,19.39,credit
2012-03-31,19.28,credit
2012-04-30,19.57,credit
2012-05-31,19.33,credit
2012-06-30,19.09,credit
2012-07-31,19.66,credit
2012-08-31,19.49,credit
2012-09-30,18.98,credit
2012-10-31,18.86,credit
2012-11-30,18.46,credit
2012-12-31,18.26,credit
2013-01-31,19.21,credit
2013-02-28,18.45,credit
2013-03-31,18.01,credit
2013-04-30,18.06,credit
2013-05-31,17.89,credit
2013-06-30,17.87,credit
2013-07-31,17.66,credit
2013-08-31,17.57,credit
2013-09-30,17.6,credit
2013-10-31,17.46,credit
2013-11-30,17.41,credit
2013-12-31,17.63,credit
2014-01-31,18.22,credit
2014-02-28,17.68,credit
2014-03-31,17.45,credit
2014-04-30,17.19,credit
2014-05-31,17.23,credit
2014-06-30,17.41,credit
2014-07-31,17.23,credit
2014-08-31,17.1,credit
2014-09-30,17.28,credit
2014-10-31,17.06,credit
2014-11-30,17.08,credit
2014-12-31,16.7,credit
2015-01-31,17.75,credit
2015-02-28,17.36,credit
2015-03-31,17.4,credit
2015-04-30,17.24,credit
2015-05-31,17.16,credit
2015-06-30,17.17,credit
2015-07-31,16.85,credit
2015-08-31,16.84,credit
2015-09-30,16.88,credit
2015-10-31,17.27,credit
2015-11-30,17.6,credit
2015-12-31,17.64,credit
2016-01-31,18.63,credit
2016-02-29,18.45,credit
2016-03-31,18.49,credit
2016-04-30,18.73,credit
2016-05-31,19.01,credit
2016-06-30,19.14,credit
2016-07-31,19.27,credit
2016-08-31,19.54,credit
2016-09-30,19.57,credit
2016-10-31,19.84,credit
2016-11-30,19.64,credit
2016-12-31,19.39,credit
2017-01-31,20.88,credit
2017-02-28,20.03,credit
2017-03-31,19.78,credit
2017-04-30,19.87,credit
2017-05-31,19.78,credit
2017-06-30,19.47,credit
2017-07-31,19.39,credit
2017-08-31,18.91,credit
2017-09-30,18.87,credit
2017-10-31,18.88,credit
2017-11-30,18.67,credit
2017-12-31,18.66,credit
2018-01-31,19.25,credit
2018-02-28,18.6,credit
2018-03-31,18.33,credit
2018-04-30,18.16,credit
2018-05-31,17.77,credit
2018-06-30,17.89,credit
2018-07-31,18.41,credit
2018-08-31,18.0,credit
2018-09-30,17.7,credit
2018-10-31,17.5,credit
2018-11-30,17.28,credit
2018-12-31,17.21,credit
2019-01-31,18.43,credit
2019-02-28,17.82,credit
2019-03-31,17.66,credit
2019-04-30,17.85,credit
2019-05-31,17.08,credit
2019-06-30,16.9,credit
2019-07-31,16.66,credit
2019-08-31,15.86,credit
2019-09-30,15.53,credit
2019-10-31,15.51,credit
2019-11-30,15.43,credit
2019-12-31,15.54,credit
2020-01-31,16.0,credit
2020-02-29,15.63,credit
2020-03-31,15.83,credit
2020-04-30,16.59,credit
2020-05-31,15.05,credit
2020-06-30,15.0,credit
2020-07-31,14.95,credit
2020-08-31,15.13,credit
2020-09-30,14.48,credit
2020-10-31,14.25,credit
2020-11-30,14.25,credit
2020-12-31,14.17,credit
2021-01-31,14.69,credit
2021-02-28,13.96,credit
2021-03-31,13.66,credit
2021-04-30,13.55,credit
2021-05-31,13.7,credit
2021-06-30,13.9,credit
2021-07-31,14.28,credit
2021-08-31,14.38,credit
2021-09-30,14.36,credit
2021-10-31,14.42,credit
2021-11-30,14.86,credit
2021-12-31,15.18,credit
2022-01-31,16.77,credit
2022-02-28,16.57,credit
2022-03-31,16.85,credit
2022-04-30,18.35,credit
2022-05-31,19.11,credit
2022-06-30,19.84,credit
2022-07-31,21.45,credit
2022-08-31,23.2,credit
2022-09-30,24.37,credit
2022-10-31,25.99,credit
2022-11-30,27.1,credit
2022-12-31,28.71,credit
2023-01-31,30.84,credit
2023-02-28,29.95,credit
2023-03-31,29.69,credit
2023-04-30,29.3,credit
2023-05-31,28.39,credit
2023-06-30,27.94,credit
2023-07-31,27.64,credit
2023-08-31,26.36,credit
2023-09-30,26.39,credit
2023-10-31,26.68,credit
2023-11-30,26.18,credit
2023-12-31,26.08,credit
2024-01-31,24.96,credit
2024-02-29,23.57,credit
2024-03-31,23.29,credit
2024-04-30,23.12,credit
2024-05-31,22.25,credit
2024-06-30,22.12,credit
2024-07-31,21.6,credit
2024-08-31,21.03,credit
2024-09-30,20.93,credit
