date,value,series
2012-01-04,1915.02,exchange_rate
2012-01-05,1898.24,exchange_rate
2012-01-06,1884.44,exchange_rate
2012-01-07,1884.47,exchange_rate
2012-01-11,1865.07,exchange_rate
2012-01-12,1854.17,exchange_rate
2012-01-13,1842.47,exchange_rate
2012-01-14,1841.31,exchange_rate
2012-01-18,1836.34,exchange_rate
2012-01-19,1827.24,exchange_rate
2012-01-20,1821.86,exchange_rate
2012-01-21,1828.75,exchange_rate
2012-01-24,1811.55,exchange_rate
2012-01-25,1814.58,exchange_rate
2012-01-26,1814.69,exchange_rate
2012-01-27,1801.88,exchange_rate
2012-01-28,1810.55,exchange_rate
2012-01-31,1815.08,exchange_rate
2012-02-01,1805.98,exchange_rate
2012-02-02,1797.68,exchange_rate
2012-02-03,1795.55,exchange_rate
2012-02-04,1784.77,exchange_rate
2012-02-07,1787.96,exchange_rate
2012-02-08,1783.34,exchange_rate
2012-02-09,1778.9,exchange_rate
2012-02-10,1774.96,exchange_rate
2012-02-11,1785.59,exchange_rate
2012-02-14,1778.12,exchange_rate
2012-02-15,1785.24,exchange_rate
2012-02-16,1791.29,exchange_rate
2012-02-17,1792.92,exchange_rate
2012-02-18,1779.81,exchange_rate
2012-02-22,1777.59,exchange_rate
2012-02-23,1781.57,exchange_rate
2012-02-24,1776.11,exchange_rate
2012-02-25,1772.42,exchange_rate
2012-02-28,1777.27,exchange_rate
2012-02-29,1767.83,exchange_rate
2012-03-01,1766.85,exchange_rate
2012-03-02,1770.7,exchange_rate
2012-03-03,1775.69,exchange_rate
2012-03-06,1774.03,exchange_rate
2012-03-07,1779.32,exchange_rate
2012-03-08,1773.88,exchange_rate
2012-03-09,1765.06,exchange_rate
2012-03-10,1762.08,exchange_rate
2012-03-13,1766.1,exchange_rate
2012-03-14,1760.77,exchange_rate
2012-03-15,1761.04,exchange_rate
2012-03-16,1761.02,exchange_rate
2012-03-17,1758.38,exchange_rate
2012-03-21,1759.78,exchange_rate
2012-03-22,1758.03,exchange_rate
2012-03-23,1761.87,exchange_rate
2012-03-24,1760.17,exchange_rate
2012-03-27,1759.58,exchange_rate
2012-03-28,1762.93,exchange_rate
2012-03-29,1771.25,exchange_rate
2012-03-30,1784.66,exchange_rate
2012-03-31,1792.07,exchange_rate
2012-04-03,1779.13,exchange_rate
2012-04-04,1767.84,exchange_rate
2012-04-05,1772.58,exchange_rate
2012-04-10,1779.53,exchange_rate
2012-04-11,1793.3,exchange_rate
2012-04-12,1787.66,exchange_rate
2012-04-13,1778.78,exchange_rate
2012-04-14,1777.12,exchange_rate
2012-04-17,1775.67,exchange_rate
2012-04-18,1769.07,exchange_rate
2012-04-19,1774.21,exchange_rate
2012-04-20,1776.06,exchange_rate
2012-04-21,1771.13,exchange_rate
2012-04-24,1774.44,exchange_rate
2012-04-25,1767.91,exchange_rate
2012-04-26,1763.85,exchange_rate
2012-04-27,1764.63,exchange_rate
2012-04-28,1761.2,exchange_rate
2012-05-01,1764,exchange_rate
2012-05-03,1760.12,exchange_rate
2012-05-04,1754.89,exchange_rate
2012-05-05,1757.24,exchange_rate
2012-05-08,1759.12,exchange_rate
2012-05-09,1760.6,exchange_rate
2012-05-10,1775.96,exchange_rate
2012-05-11,1765,exchange_rate
2012-05-12,1764.69,exchange_rate
2012-05-15,1771.6,exchange_rate
2012-05-16,1778.37,exchange_rate
2012-05-17,1793.61,exchange_rate
2012-05-18,1804.92,exchange_rate
2012-05-19,1814.46,exchange_rate
2012-05-23,1824.73,exchange_rate
2012-05-24,1845.17,exchange_rate
2012-05-25,1836.45,exchange_rate
2012-05-26,1840.69,exchange_rate
2012-05-30,1818.82,exchange_rate
2012-05-31,1827.83,exchange_rate
2012-06-01,1833.8,exchange_rate
2012-06-02,1834.71,exchange_rate
2012-06-05,1815.54,exchange_rate
2012-06-06,1798.85,exchange_rate
2012-06-07,1782.89,exchange_rate
2012-06-08,1766.91,exchange_rate
2012-06-09,1776.26,exchange_rate
2012-06-13,1776.47,exchange_rate
2012-06-14,1783.45,exchange_rate
2012-06-15,1787.63,exchange_rate
2012-06-16,1786.21,exchange_rate
2012-06-20,1773.18,exchange_rate
2012-06-21,1770.38,exchange_rate
2012-06-22,1775.99,exchange_rate
2012-06-23,1787.47,exchange_rate
2012-06-26,1803.37,exchange_rate
2012-06-27,1805.14,exchange_rate
2012-06-28,1796.18,exchange_rate
2012-06-29,1805.6,exchange_rate
2012-06-30,1784.6,exchange_rate
2012-07-04,1771.53,exchange_rate
2012-07-06,1774.37,exchange_rate
2012-07-07,1785.25,exchange_rate
2012-07-10,1790.25,exchange_rate
2012-07-11,1785.06,exchange_rate
2012-07-12,1787.72,exchange_rate
2012-07-13,1790.12,exchange_rate
2012-07-14,1780.21,exchange_rate
2012-07-17,1778.42,exchange_rate
2012-07-18,1778.97,exchange_rate
2012-07-19,1778.28,exchange_rate
2012-07-20,1775.8,exchange_rate
2012-07-24,1790.39,exchange_rate
2012-07-25,1797.33,exchange_rate
2012-07-26,1799.48,exchange_rate
2012-07-27,1789.22,exchange_rate
2012-07-28,1791.12,exchange_rate
2012-07-31,1789.02,exchange_rate
2012-08-01,1790.74,exchange_rate
2012-08-02,1787.51,exchange_rate
2012-08-03,1790.97,exchange_rate
2012-08-04,1786.06,exchange_rate
2012-08-07,1785.29,exchange_rate
2012-08-09,1788.03,exchange_rate
2012-08-10,1788.08,exchange_rate
2012-08-11,1791.61,exchange_rate
2012-08-14,1792.86,exchange_rate
2012-08-15,1800.81,exchange_rate
2012-08-16,1817.18,exchange_rate
2012-08-17,1825.52,exchange_rate
2012-08-18,1822.59,exchange_rate
2012-08-22,1815.8,exchange_rate
2012-08-23,1812.88,exchange_rate
2012-08-24,1808.33,exchange_rate
2012-08-25,1814.83,exchange_rate
2012-08-28,1821.44,exchange_rate
2012-08-29,1828.99,exchange_rate
2012-08-30,1833.14,exchange_rate
2012-08-31,1830.5,exchange_rate
2012-09-01,1825.21,exchange_rate
2012-09-05,1824.81,exchange_rate
2012-09-06,1814.06,exchange_rate
2012-09-07,1804.09,exchange_rate
2012-09-08,1797.35,exchange_rate
2012-09-11,1802.23,exchange_rate
2012-09-12,1795.4,exchange_rate
2012-09-13,1802.22,exchange_rate
2012-09-14,1799.57,exchange_rate
2012-09-15,1789.54,exchange_rate
2012-09-18,1799.77,exchange_rate
2012-09-19,1800.19,exchange_rate
2012-09-20,1795.66,exchange_rate
2012-09-21,1798.98,exchange_rate
2012-09-22,1796.75,exchange_rate
2012-09-25,1799.29,exchange_rate
2012-09-26,1795.69,exchange_rate
2012-09-27,1799.55,exchange_rate
2012-09-28,1798.08,exchange_rate
2012-09-29,1800.52,exchange_rate
2012-10-02,1797.97,exchange_rate
2012-10-03,1798.86,exchange_rate
2012-10-04,1800.43,exchange_rate
2012-10-05,1797.68,exchange_rate
2012-10-06,1795.4,exchange_rate
2012-10-10,1798.32,exchange_rate
2012-10-11,1799.78,exchange_rate
2012-10-12,1797.68,exchange_rate
2012-10-13,1797.68,exchange_rate
2012-10-17,1797.81,exchange_rate
2012-10-18,1798.53,exchange_rate
2012-10-19,1797.66,exchange_rate
2012-10-20,1798.42,exchange_rate
2012-10-23,1802.91,exchange_rate
