"valor","unidad","vigenciadesde","vigenciahasta"
"3440.83","COP","2026-07-01T00:00:00.000","2026-07-01T00:00:00.000"
"3443.59","COP","2026-06-27T00:00:00.000","2026-06-30T00:00:00.000"
"3433.71","COP","2026-06-26T00:00:00.000","2026-06-26T00:00:00.000"
"3428.32","COP","2026-06-25T00:00:00.000","2026-06-25T00:00:00.000"
"3425.95","COP","2026-06-24T00:00:00.000","2026-06-24T00:00:00.000"
"3406.14","COP","2026-06-23T00:00:00.000","2026-06-23T00:00:00.000"
"3459.53","COP","2026-06-19T00:00:00.000","2026-06-22T00:00:00.000"
"3439.91","COP","2026-06-18T00:00:00.000","2026-06-18T00:00:00.000"
"3427.07","COP","2026-06-17T00:00:00.000","2026-06-17T00:00:00.000"
"3475.72","COP","2026-06-13T00:00:00.000","2026-06-16T00:00:00.000"
"3513.54","COP","2026-06-12T00:00:00.000","2026-06-12T00:00:00.000"
"3567.11","COP","2026-06-11T00:00:00.000","2026-06-11T00:00:00.000"
"3581.46","COP","2026-06-10T00:00:00.000","2026-06-10T00:00:00.000"
"3588.09","COP","2026-06-06T00:00:00.000","2026-06-09T00:00:00.000"
"3565.32","COP","2026-06-05T00:00:00.000","2026-06-05T00:00:00.000"
"3572.85","COP","2026-06-04T00:00:00.000","2026-06-04T00:00:00.000"
"3562.0","COP","2026-06-03T00:00:00.000","2026-06-03T00:00:00.000"
"3560.24","COP","2026-06-02T00:00:00.000","2026-06-02T00:00:00.000"
"3678.15","COP","2026-05-30T00:00:00.000","2026-06-01T00:00:00.000"
"3646.58","COP","2026-05-29T00:00:00.000","2026-05-29T00:00:00.000"
"3631.57","COP","2026-05-28T00:00:00.000","2026-05-28T00:00:00.000"
"3644.47","COP","2026-05-27T00:00:00.000","2026-05-27T00:00:00.000"
"3667.06","COP","2026-05-23T00:00:00.000","2026-05-26T00:00:00.000"
"3701.37","COP","2026-05-22T00:00:00.000","2026-05-22T00:00:00.000"
"3730.49","COP","2026-05-21T00:00:00.000","2026-05-21T00:00:00.000"
"3796.87","COP","2026-05-20T00:00:00.000","2026-05-20T00:00:00.000"
"3796.78","COP","2026-05-16T00:00:00.000","2026-05-19T00:00:00.000"
"3784.7","COP","2026-05-15T00:00:00.000","2026-05-15T00:00:00.000"
"3794.91","COP","2026-05-14T00:00:00.000","2026-05-14T00:00:00.000"
"3775.07","COP","2026-05-13T00:00:00.000","2026-05-13T00:00:00.000"
"3759.0","COP","2026-05-12T00:00:00.000","2026-05-12T00:00:00.000"
"3747.1","COP","2026-05-09T00:00:00.000","2026-05-11T00:00:00.000"
"3729.27","COP","2026-05-08T00:00:00.000","2026-05-08T00:00:00.000"
"3706.44","COP","2026-05-07T00:00:00.000","2026-05-07T00:00:00.000"
"3723.33","COP","2026-05-06T00:00:00.000","2026-05-06T00:00:00.000"
"3707.58","COP","2026-05-05T00:00:00.000","2026-05-05T00:00:00.000"
"3637.51","COP","2026-05-01T00:00:00.000","2026-05-04T00:00:00.000"
"3621.86","COP","2026-04-30T00:00:00.000","2026-04-30T00:00:00.000"
"3633.76","COP","2026-04-29T00:00:00.000","2026-04-29T00:00:00.000"
"3593.17","COP","2026-04-28T00:00:00.000","2026-04-28T00:00:00.000"
"3551.17","COP","2026-04-25T00:00:00.000","2026-04-27T00:00:00.000"
"3560.62","COP","2026-04-24T00:00:00.000","2026-04-24T00:00:00.000"
"3568.88","COP","2026-04-23T00:00:00.000","2026-04-23T00:00:00.000"
"3576.05","COP","2026-04-22T00:00:00.000","2026-04-22T00:00:00.000"
