date,value,series
2012-01-15,4.75,interest_rate
2012-02-15,5.0,interest_rate
2012-03-15,5.25,interest_rate
2012-04-15,5.25,interest_rate
2012-05-15,5.25,interest_rate
2012-06-15,5.25,interest_rate
2012-07-15,5.25,interest_rate
2012-08-15,5.0,interest_rate
2012-09-15,4.75,interest_rate
2012-10-15,4.75,interest_rate
2012-11-15,4.75,interest_rate
2012-12-15,4.5,interest_rate
2013-01-15,4.25,interest_rate
2013-02-15,4.0,interest_rate
2013-03-15,3.75,interest_rate
2013-04-15,3.25,interest_rate
2013-05-15,3.25,interest_rate
2013-06-15,3.25,interest_rate
2013-07-15,3.25,interest_rate
2013-08-15,3.25,interest_rate
2013-09-15,3.25,interest_rate
2013-10-15,3.25,interest_rate
2013-11-15,3.25,interest_rate
2013-12-15,3.25,interest_rate
2014-01-15,3.25,interest_rate
2014-02-15,3.25,interest_rate
2014-03-15,3.25,interest_rate
2014-04-15,3.25,interest_rate
2014-05-15,3.5,interest_rate
2014-06-15,3.75,interest_rate
2014-07-15,4.0,interest_rate
2014-08-15,4.25,interest_rate
2014-09-15,4.5,interest_rate
2014-10-15,4.5,interest_rate
2014-11-15,4.5,interest_rate
2014-12-15,4.5,interest_rate
2015-01-15,4.5,interest_rate
2015-02-15,4.5,interest_rate
2015-03-15,4.5,interest_rate
2015-04-15,4.5,interest_rate
2015-05-15,4.5,interest_rate
2015-06-15,4.5,interest_rate
2015-07-15,4.5,interest_rate
2015-08-15,4.5,interest_rate
2015-09-15,4.5,interest_rate
2015-10-15,4.75,interest_rate
2015-11-15,5.25,interest_rate
2015-12-15,5.5,interest_rate
2016-01-15,5.75,interest_rate
2016-02-15,6.0,interest_rate
2016-03-15,6.25,interest_rate
2016-04-15,6.5,interest_rate
2016-05-15,7.0,interest_rate
2016-06-15,7.25,interest_rate
2016-07-15,7.5,interest_rate
2016-08-15,7.75,interest_rate
2016-09-15,7.75,interest_rate
2016-10-15,7.75,interest_rate
2016-11-15,7.75,interest_rate
2016-12-15,7.75,interest_rate
2017-01-15,7.5,interest_rate
2017-02-15,7.5,interest_rate
2017-03-15,7.25,interest_rate
2017-04-15,7.0,interest_rate
2017-05-15,6.5,interest_rate
2017-06-15,6.25,interest_rate
2017-07-15,5.75,interest_rate
2017-08-15,5.5,interest_rate
2017-09-15,5.25,interest_rate
2017-10-15,5.25,interest_rate
2017-11-15,5.0,interest_rate
2017-12-15,4.75,interest_rate
2018-01-15,4.75,interest_rate
2018-02-15,4.5,interest_rate
2018-03-15,4.5,interest_rate
2018-04-15,4.5,interest_rate
2018-05-15,4.25,interest_rate
2018-06-15,4.25,interest_rate
2018-07-15,4.25,interest_rate
2018-08-15,4.25,interest_rate
2018-09-15,4.25,interest_rate
2018-10-15,4.25,interest_rate
2018-11-15,4.25,interest_rate
2018-12-15,4.25,interest_rate
2019-01-15,4.25,interest_rate
2019-02-15,4.25,interest_rate
2019-03-15,4.25,interest_rate
2019-04-15,4.25,interest_rate
2019-05-15,4.25,interest_rate
2019-06-15,4.25,interest_rate
2019-07-15,4.25,interest_rate
2019-08-15,4.25,interest_rate
2019-09-15,4.25,interest_rate
2019-10-15,4.25,interest_rate
2019-11-15,4.25,interest_rate
2019-12-15,4.25,interest_rate
2020-01-15,4.25,interest_rate
2020-02-15,4.25,interest_rate
2020-03-15,4.25,interest_rate
2020-04-15,3.75,interest_rate
2020-05-15,3.25,interest_rate
2020-06-15,2.75,interest_rate
2020-07-15,2.5,interest_rate
2020-08-15,2.25,interest_rate
2020-09-15,2.0,interest_rate
2020-10-15,1.75,interest_rate
2020-11-15,1.75,interest_rate
2020-12-15,1.75,interest_rate
2021-01-15,1.75,interest_rate
2021-02-15,1.75,interest_rate
2021-03-15,1.75,interest_rate
2021-04-15,1.75,interest_rate
2021-05-15,1.75,interest_rate
2021-06-15,1.75,interest_rate
2021-07-15,1.75,interest_rate
2021-08-15,1.75,interest_rate
2021-09-15,1.75,interest_rate
2021-10-15,2.0,interest_rate
2021-11-15,2.5,interest_rate
2021-12-15,2.5,interest_rate
2022-01-15,3.0,interest_rate
2022-02-15,4.0,interest_rate
2022-03-15,4.0,interest_rate
2022-04-15,5.0,interest_rate
2022-05-15,6.0,interest_rate
2022-06-15,6.0,interest_rate
2022-07-15,7.5,interest_rate
2022-08-15,9.0,interest_rate
2022-09-15,9.0,interest_rate
2022-10-15,10.0,interest_rate
2022-11-15,11.0,interest_rate
2022-12-15,11.0,interest_rate
2023-01-15,12.0,interest_rate
2023-02-15,12.75,interest_rate
2023-03-15,12.75,interest_rate
2023-04-15,13.0,interest_rate
2023-05-15,13.25,interest_rate
2023-06-15,13.25,interest_rate
2023-07-15,13.25,interest_rate
2023-08-15,13.25,interest_rate
2023-09-15,13.25,interest_rate
2023-10-15,13.25,interest_rate
2023-11-15,13.25,interest_rate
2023-12-15,13.25,interest_rate
2024-01-15,13.0,interest_rate
2024-02-15,12.75,interest_rate
2024-03-15,12.75,interest_rate
2024-04-15,12.25,interest_rate
2024-05-15,11.75,interest_rate
2024-06-15,11.75,interest_rate
2024-07-15,11.25,interest_rate
2024-08-15,10.75,interest_rate
2024-09-15,10.75,interest_rate
