date,value,series
2012-08-31,61.447,m1
2012-09-30,61.229,m1
2012-10-31,62.835,m1
2012-11-30,65.458,m1
2012-12-31,73.234,m1
2013-01-31,66.94,m1
2013-02-28,66.498,m1
2013-03-31,67.89,m1
2013-04-30,68.102,m1
2013-05-31,67.252,m1
2013-06-30,72.099,m1
2013-07-31,71.912,m1
2013-08-31,72.426,m1
2013-09-30,72.168,m1
2013-10-31,73.388,m1
2013-11-30,76.785,m1
2013-12-31,83.789,m1
2014-01-31,78.985,m1
2014-02-28,79.945,m1
2014-03-31,80.633,m1
2014-04-30,80.08,m1
2014-05-31,78.669,m1
2014-06-30,81.883,m1
2014-07-31,81.437,m1
2014-08-31,81.409,m1
2014-09-30,81.692,m1
2014-10-31,82.215,m1
2014-11-30,85.764,m1
2014-12-31,93.606,m1
2015-01-31,88.346,m1
2015-02-28,86.758,m1
2015-03-31,88.073,m1
2015-04-30,85.903,m1
2015-05-31,85.532,m1
2015-06-30,90.429,m1
2015-07-31,89.404,m1
2015-08-31,91.498,m1
2015-09-30,90.86,m1
2015-10-31,91.696,m1
2015-11-30,96.663,m1
2015-12-31,103.369,m1
2016-01-31,95.753,m1
2016-02-29,96.838,m1
2016-03-31,96.156,m1
2016-04-30,93.588,m1
2016-05-31,91.081,m1
2016-06-30,92.154,m1
2016-07-31,92.866,m1
2016-08-31,92.856,m1
2016-09-30,89.592,m1
2016-10-31,92.607,m1
2016-11-30,95.333,m1
2016-12-31,102.043,m1
2017-01-31,95.07,m1
2017-02-28,96.508,m1
2017-03-31,93.479,m1
2017-04-30,91.556,m1
2017-05-31,91.224,m1
2017-06-30,93.055,m1
2017-07-31,94.467,m1
2017-08-31,93.628,m1
2017-09-30,93.307,m1
2017-10-31,94.845,m1
2017-11-30,98.065,m1
2017-12-31,108.539,m1
2018-01-31,99.629,m1
2018-02-28,100.743,m1
2018-03-31,100.115,m1
2018-04-30,98.209,m1
2018-05-31,96.962,m1
2018-06-30,98.841,m1
2018-07-31,101.096,m1
2018-08-31,100.564,m1
2018-09-30,100.192,m1
2018-10-31,101.775,m1
2018-11-30,105.704,m1
2018-12-31,116.396,m1
2019-01-31,107.765,m1
2019-02-28,108.341,m1
2019-03-31,108.965,m1
2019-04-30,108.821,m1
2019-05-31,107.531,m1
2019-06-30,110.947,m1
2019-07-31,112.087,m1
2019-08-31,113.853,m1
2019-09-30,114.045,m1
2019-10-31,114.869,m1
2019-11-30,120.837,m1
2019-12-31,127.882,m1
2020-01-31,119.464,m1
2020-02-29,120.475,m1
2020-03-31,137.992,m1
2020-04-30,140.447,m1
2020-05-31,140.321,m1
2020-06-30,144.846,m1
2020-07-31,142.363,m1
2020-08-31,144.405,m1
2020-09-30,144.404,m1
2020-10-31,146.844,m1
2020-11-30,149.348,m1
2020-12-31,161.069,m1
2021-01-31,153.5,m1
2021-02-28,157.355,m1
2021-03-31,161.449,m1
2021-04-30,159.843,m1
2021-05-31,165.721,m1
2021-06-30,167.4,m1
2021-07-31,167.549,m1
2021-08-31,171.074,m1
2021-09-30,168.815,m1
2021-10-31,171.906,m1
2021-11-30,181.138,m1
2021-12-31,188.259,m1
2022-01-31,181.28,m1
2022-02-28,183.823,m1
2022-03-31,181.467,m1
2022-04-30,180.324,m1
2022-05-31,180.864,m1
2022-06-30,182.139,m1
2022-07-31,182.438,m1
2022-08-31,181.753,m1
2022-09-30,178.143,m1
2022-10-31,180.696,m1
2022-11-30,181.775,m1
2022-12-31,189.506,m1
2023-01-31,181.472,m1
2023-02-28,177.645,m1
2023-03-31,172.389,m1
2023-04-30,171.775,m1
2023-05-31,168.572,m1
2023-06-30,169.042,m1
2023-07-31,169.434,m1
2023-08-31,167.847,m1
2023-09-30,168.159,m1
2023-10-31,173.829,m1
2023-11-30,173.545,m1
2023-12-31,184.836,m1
2024-01-31,177.889,m1
2024-02-29,174.902,m1
2024-03-31,174.411,m1
2024-04-30,176.875,m1
2024-05-31,172.997,m1
2024-06-30,177.032,m1
2024-07-31,178.968,m1
2024-08-31,180.007,m1
2024-09-30,183.985,m1
