date,value,series
2012-01-01,12.7911,unemployment_rate
2012-02-01,12.075,unemployment_rate
2012-03-01,10.5024,unemployment_rate
2012-04-01,11.087,unemployment_rate
2012-05-01,10.995,unemployment_rate
2012-06-01,10.2437,unemployment_rate
2012-07-01,11.1558,unemployment_rate
2012-08-01,9.9893,unemployment_rate
2012-09-01,10.1444,unemployment_rate
2012-10-01,9.1692,unemployment_rate
2012-11-01,9.4619,unemployment_rate
2012-12-01,9.9404,unemployment_rate
2013-01-01,12.3415,unemployment_rate
2013-02-01,12.0105,unemployment_rate
2013-03-01,10.3838,unemployment_rate
2013-04-01,10.4518,unemployment_rate
2013-05-01,9.8204,unemployment_rate
2013-06-01,9.5105,unemployment_rate
2013-07-01,10.1626,unemployment_rate
2013-08-01,9.6613,unemployment_rate
2013-09-01,9.1692,unemployment_rate
2013-10-01,8.13,unemployment_rate
2013-11-01,8.6268,unemployment_rate
2013-12-01,8.6473,unemployment_rate
2014-01-01,11.5324,unemployment_rate
2014-02-01,11.0878,unemployment_rate
2014-03-01,9.8445,unemployment_rate
2014-04-01,9.3084,unemployment_rate
2014-05-01,9.0674,unemployment_rate
2014-06-01,9.4019,unemployment_rate
2014-07-01,9.6865,unemployment_rate
2014-08-01,9.16,unemployment_rate
2014-09-01,8.6057,unemployment_rate
2014-10-01,8.0953,unemployment_rate
2014-11-01,8.0622,unemployment_rate
2014-12-01,9.0375,unemployment_rate
2015-01-01,11.1517,unemployment_rate
2015-02-01,10.2276,unemployment_rate
2015-03-01,9.1228,unemployment_rate
2015-04-01,9.7373,unemployment_rate
2015-05-01,9.2216,unemployment_rate
2015-06-01,8.4987,unemployment_rate
2015-07-01,9.2237,unemployment_rate
2015-08-01,9.3036,unemployment_rate
2015-09-01,9.0682,unemployment_rate
2015-10-01,8.4385,unemployment_rate
2015-11-01,7.5631,unemployment_rate
2015-12-01,8.8227,unemployment_rate
2016-01-01,12.1784,unemployment_rate
2016-02-01,10.3678,unemployment_rate
2016-03-01,10.4646,unemployment_rate
2016-04-01,9.3195,unemployment_rate
2016-05-01,9.2374,unemployment_rate
2016-06-01,9.19,unemployment_rate
2016-07-01,10.2006,unemployment_rate
2016-08-01,9.2326,unemployment_rate
2016-09-01,8.8534,unemployment_rate
2016-10-01,8.628,unemployment_rate
2016-11-01,7.7732,unemployment_rate
2016-12-01,9.0971,unemployment_rate
2017-01-01,11.9569,unemployment_rate
2017-02-01,10.873,unemployment_rate
2017-03-01,9.9046,unemployment_rate
2017-04-01,9.1359,unemployment_rate
2017-05-01,9.838,unemployment_rate
2017-06-01,8.9773,unemployment_rate
2017-07-01,9.9404,unemployment_rate
2017-08-01,9.5168,unemployment_rate
2017-09-01,9.5469,unemployment_rate
2017-10-01,8.7399,unemployment_rate
2017-11-01,8.7648,unemployment_rate
2017-12-01,8.9122,unemployment_rate
2018-01-01,12.1374,unemployment_rate
2018-02-01,11.1882,unemployment_rate
2018-03-01,9.7716,unemployment_rate
2018-04-01,9.7292,unemployment_rate
2018-05-01,9.9795,unemployment_rate
2018-06-01,9.3085,unemployment_rate
2018-07-01,10.0423,unemployment_rate
2018-08-01,9.4292,unemployment_rate
2018-09-01,9.6707,unemployment_rate
2018-10-01,9.3615,unemployment_rate
2018-11-01,8.9905,unemployment_rate
2018-12-01,9.9891,unemployment_rate
2019-01-01,13.0752,unemployment_rate
2019-02-01,12.0926,unemployment_rate
2019-03-01,11.1814,unemployment_rate
2019-04-01,10.6566,unemployment_rate
2019-05-01,10.9519,unemployment_rate
2019-06-01,9.7229,unemployment_rate
2019-07-01,11.2807,unemployment_rate
2019-08-01,11.1973,unemployment_rate
2019-09-01,10.8003,unemployment_rate
2019-10-01,10.1236,unemployment_rate
2019-11-01,9.6186,unemployment_rate
2019-12-01,9.9497,unemployment_rate
2020-01-01,13.4585,unemployment_rate
2020-02-01,12.8131,unemployment_rate
2020-03-01,13.1828,unemployment_rate
2020-04-01,20.4853,unemployment_rate
2020-05-01,21.972,unemployment_rate
2020-06-01,20.3591,unemployment_rate
2020-07-01,20.9147,unemployment_rate
2020-08-01,17.4427,unemployment_rate
2020-09-01,16.2928,unemployment_rate
2020-10-01,15.2814,unemployment_rate
2020-11-01,13.9128,unemployment_rate
2020-12-01,13.9142,unemployment_rate
2021-01-01,17.5633,unemployment_rate
2021-02-01,15.5852,unemployment_rate
2021-03-01,14.7255,unemployment_rate
2021-04-01,15.488,unemployment_rate
2021-05-01,15.2042,unemployment_rate
2021-06-01,14.6466,unemployment_rate
2021-07-01,13.0585,unemployment_rate
2021-08-01,12.8614,unemployment_rate
2021-09-01,11.9613,unemployment_rate
2021-10-01,11.9952,unemployment_rate
2021-11-01,11.5331,unemployment_rate
2021-12-01,11.0965,unemployment_rate
2022-01-01,14.6473,unemployment_rate
2022-02-01,12.9052,unemployment_rate
2022-03-01,12.1212,unemployment_rate
2022-04-01,11.1685,unemployment_rate
2022-05-01,10.6483,unemployment_rate
2022-06-01,11.2612,unemployment_rate
2022-07-01,10.9889,unemployment_rate
2022-08-01,10.6313,unemployment_rate
2022-09-01,10.7484,unemployment_rate
2022-10-01,9.721,unemployment_rate
2022-11-01,9.5008,unemployment_rate
2022-12-01,10.2727,unemployment_rate
2023-01-01,13.7044,unemployment_rate
2023-02-01,11.3531,unemployment_rate
2023-03-01,10.0325,unemployment_rate
2023-04-01,10.7247,unemployment_rate
2023-05-01,10.4751,unemployment_rate
2023-06-01,9.342309621,unemployment_rate
2023-07-01,9.572850564101575,unemployment_rate
2023-08-01,9.277371999269596,unemployment_rate
2023-09-01,9.252674180332214,unemployment_rate
2023-10-01,9.23091238429411,unemployment_rate
2023-11-01,9.007386157221003,unemployment_rate
2023-12-01,10.013717396181603,unemployment_rate
2024-01-01,12.661635826705913,unemployment_rate
2024-02-01,11.666144792067652,unemployment_rate
2024-03-01,11.285719499435782,unemployment_rate
2024-04-01,10.646715730368971,unemployment_rate
2024-05-01,10.305870827614305,unemployment_rate
2024-06-01,10.268590171466832,unemployment_rate
2024-07-01,9.918144628511657,unemployment_rate
2024-08-01,9.66265784199371,unemployment_rate
2024-09-01,9.134476951775593,unemployment_rate
