date,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential
2020-02-15,4,5,-5,1,7,1
2020-02-16,0,5,-5,-1,1,2
2020-02-17,-1,3,-4,6,15,-1
2020-02-18,-3,1,-3,10,17,-1
2020-02-19,-5,-5,-5,6,13,-2
2020-02-20,-5,-4,-6,2,7,-1
2020-02-21,-2,-1,-6,8,13,-1
2020-02-22,-2,-2,-8,2,4,0
2020-02-23,-7,-4,-11,-5,-2,2
2020-02-24,-7,-4,-9,6,11,0
2020-02-25,-8,-5,-9,8,13,0
2020-02-26,-6,-5,-5,7,13,-2
2020-02-27,-5,-2,-6,4,13,-2
2020-02-28,3,7,-4,10,20,-3
2020-02-29,8,11,-2,8,10,-1
2020-03-01,5,13,-2,4,3,1
2020-03-02,2,8,-4,12,17,-2
2020-03-03,0,7,-3,15,19,-2
2020-03-04,-1,2,-2,9,15,-2
2020-03-05,-1,4,-1,9,14,-2
2020-03-06,1,4,-3,12,21,-3
2020-03-07,3,5,-4,4,10,0
2020-03-08,6,5,-3,1,4,1
2020-03-09,-5,-1,-9,8,16,-1
2020-03-10,-7,-2,-9,13,18,-1
2020-03-11,-8,-3,-7,8,14,-2
2020-03-12,-9,-1,-8,3,13,-1
2020-03-13,-6,2,-11,4,18,-1
2020-03-14,-5,7,-10,-4,8,1
2020-03-15,-14,9,-16,-11,1,4
2020-03-16,-15,12,-18,-14,-3,5
2020-03-17,-23,13,-20,-19,-11,9
2020-03-18,-29,8,-24,-27,-20,11
2020-03-19,-31,7,-25,-29,-24,11
2020-03-20,-62,-29,-51,-63,-47,25
2020-03-21,-83,-55,-75,-78,-65,30
2020-03-22,-85,-64,-79,-77,-55,25
2020-03-23,-86,-66,-77,-84,-82,37
2020-03-24,-71,-41,-60,-65,-62,28
2020-03-25,-83,-64,-75,-80,-75,35
2020-03-26,-82,-61,-74,-80,-75,35
2020-03-27,-82,-59,-74,-80,-73,38
2020-03-28,-84,-61,-76,-80,-68,31
2020-03-29,-86,-68,-80,-82,-58,26
2020-03-30,-79,-56,-71,-79,-73,34
2020-03-31,-78,-52,-69,-78,-72,34
2020-04-01,-78,-53,-69,-78,-73,33
2020-04-02,-78,-51,-68,-78,-73,34
